Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SOUTH PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),EAST PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),NORTH PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),WEST PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),CORE LIGHTS 1:Lights Electricity Rate [W](Hourly),PLENUM:Zone Air System Sensible Heating Rate [W](Hourly),PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),PLENUM:Zone Air Temperature [C](Hourly),SOUTH PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),SOUTH PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),SOUTH PERIMETER:Zone Air Temperature [C](Hourly),EAST PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),EAST PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),EAST PERIMETER:Zone Air Temperature [C](Hourly),NORTH PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),NORTH PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),NORTH PERIMETER:Zone Air Temperature [C](Hourly),WEST PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),WEST PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),WEST PERIMETER:Zone Air Temperature [C](Hourly),CORE:Zone Air System Sensible Heating Rate [W](Hourly),CORE:Zone Air System Sensible Cooling Rate [W](Hourly),CORE:Zone Air Temperature [C](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),SOUTH ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),EAST ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),WEST ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),CORE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),NORTH ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),SOUTH ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),EAST ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),WEST ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),CORE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),NORTH ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly) 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.58074486377901,2021.2046788794524,0.0,21.99999999999641,810.49746488455,0.0,21.999999999999998,1832.7936098156025,0.0,21.999999999999998,679.0860952933372,0.0,22.000000000000008,1619.7783727121569,0.0,22.0,12692.082570398206,2110.1749471116988,1377.9568251503334,1968.2739503781348,3342.373439467715,2789.7724341500545,0.0,0.0,0.0,0.0,0.0 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.423741574207239,2074.8032652322019,0.0,21.99999999999904,839.5955353524805,0.0,21.999999999999998,1887.0225193291408,0.0,22.0,708.2710682694742,0.0,22.000000000000008,1638.746655218556,0.0,22.0,12794.003710666984,2158.2193694881568,1395.9476184849248,1975.249200616329,3333.682491137942,2827.374056799364,0.0,0.0,0.0,0.0,0.0 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.222311945772007,2067.453205389076,0.0,21.99999999999974,840.8275156922855,0.0,22.0,1880.8384534894167,0.0,22.000000000000005,709.5402688430058,0.0,22.000000000000008,1592.8853489052409,0.0,22.000000000000005,12637.48596944247,2144.2130340399705,1383.8661262945098,1949.8912416530043,3254.7021808766014,2801.282412438117,0.0,0.0,0.0,0.0,0.0 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.02148186729207,2138.8840123025349,0.0,21.999999999999934,873.5892826805175,0.0,22.0,1952.100299393006,0.0,22.0,742.3237419206789,0.0,22.0,1691.616709062614,0.0,21.999999999999998,12944.490595386074,2215.640425644363,1416.6265771617578,1982.6780714340303,3353.4568376593517,2872.557709346305,0.0,0.0,0.0,0.0,0.0 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.836373776373005,2148.5801909115127,0.0,21.999999999999984,878.9832693478711,0.0,22.0,1962.231609267682,0.0,21.999999999999998,747.7259613905917,0.0,21.999999999999998,1714.0275902535632,0.0,22.0,12914.411080673352,2219.7885268389925,1410.9242317462372,1965.885677984549,3348.19600923547,2866.085660727835,0.0,0.0,0.0,0.0,0.0 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.672665675694546,2163.8828336185617,0.0,21.999999999999998,885.9377465228599,0.0,22.000000000000005,1977.2412094905649,0.0,22.0,754.685175878084,0.0,22.0,1739.2833002790567,0.0,22.000000000000005,12983.993534369436,2235.0921468285835,1417.8843502367273,1972.8571657649073,3373.5032750397156,2881.125622359232,0.0,0.0,0.0,0.0,0.0 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.52865705810362,2215.686803336943,0.0,21.999999999999998,908.3369334953777,0.0,22.0,2028.644891527766,0.0,21.999999999999998,777.0885758404029,0.0,21.999999999999998,1827.958473235797,0.0,22.000000000000008,13221.419953302877,2286.942986795118,1440.3760145732825,1995.4424118398898,3462.432247291635,2932.695318662683,0.0,0.0,0.0,0.0,0.0 
 01/01  08:00:00,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.406971632316921,2095.191810875476,0.0,21.999999999999998,840.8791307556821,0.0,22.000000000000008,1966.0260040506965,0.0,22.0,749.5652637673011,0.0,22.000000000000005,1768.609990007697,0.0,22.0,12784.311268558647,2159.8010653090016,1359.6224574288356,1941.2977482891473,3369.892277375935,2850.1667460154596,0.0,0.0,0.0,0.0,0.0 
 01/01  09:00:00,-8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.36550293318735,952.7360117801145,0.0,22.000000000000005,317.7309279155497,0.0,22.0,1847.1400637092693,0.0,22.0,690.2648677092011,0.0,21.999999999999998,1778.1439137300104,0.0,22.0,10766.132329063204,1005.1348901605575,812.0390053382557,1832.8918046518048,3318.039831135728,2694.495823636588,0.0,0.0,0.0,0.0,0.0 
 01/01  10:00:00,-6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.437295754447183,0.0,37.53387496902178,22.000017109428378,138.7978749685144,0.0,22.0,1819.0407368305706,0.0,22.0,662.8623557967712,0.0,22.0,1970.5522129579477,0.0,22.0,9374.921253057937,0.0,583.9936107622489,1707.1958009871076,3387.501916195624,2592.6989509726906,0.0,0.0,0.0,0.0,0.0 
