Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SOUTH PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),EAST PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),NORTH PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),WEST PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),CORE LIGHTS 1:Lights Electricity Rate [W](Hourly),PLENUM:Zone Air System Sensible Heating Rate [W](Hourly),PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),PLENUM:Zone Air Temperature [C](Hourly),SOUTH PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),SOUTH PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),SOUTH PERIMETER:Zone Air Temperature [C](Hourly),EAST PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),EAST PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),EAST PERIMETER:Zone Air Temperature [C](Hourly),NORTH PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),NORTH PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),NORTH PERIMETER:Zone Air Temperature [C](Hourly),WEST PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),WEST PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),WEST PERIMETER:Zone Air Temperature [C](Hourly),CORE:Zone Air System Sensible Heating Rate [W](Hourly),CORE:Zone Air System Sensible Cooling Rate [W](Hourly),CORE:Zone Air Temperature [C](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),SOUTH ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),EAST ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),WEST ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),CORE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),NORTH ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),SOUTH ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),EAST ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),WEST ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),CORE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),NORTH ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly) 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.947490911315,0.0,0.0,18.134208956189679,0.0,0.0,18.454858328580639,0.0,0.0,18.340314914402148,0.0,0.0,18.987257939839386,0.0,0.0,19.475258570678628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.76420288961401,0.0,0.0,17.948930392713334,0.0,0.0,18.284769936020067,0.0,0.0,18.17828692721227,0.0,0.0,18.818693536753345,0.0,0.0,19.413587719409916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.531039734548323,0.0,0.0,17.84429904420629,0.0,0.0,18.18102918256142,0.0,0.0,18.08893600596876,0.0,0.0,18.717694463659968,0.0,0.0,19.39110464409631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29755227332428,0.0,0.0,17.72505104952003,0.0,0.0,18.061942271579317,0.0,0.0,17.979673617250186,0.0,0.0,18.600472585732118,0.0,0.0,19.325596033914147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.07701201388177,0.0,0.0,17.639534159193283,0.0,0.0,17.975215747186654,0.0,0.0,17.90106012001595,0.0,0.0,18.515884073250424,0.0,0.0,19.269651873195536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.876927868398099,0.0,0.0,17.571730262086875,0.0,0.0,17.905985048012647,0.0,0.0,17.838274407090588,0.0,0.0,18.44868188279573,0.0,0.0,19.221865225526899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.695893695721337,0.0,0.0,17.491209105764299,0.0,0.0,17.825683140232387,0.0,0.0,17.760846396963176,0.0,0.0,18.36974105876187,0.0,0.0,19.151031064292089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  08:00:00,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.536356906044185,0.0,0.0,17.527408606435896,0.0,0.0,17.883447906923398,0.0,0.0,17.753209906113285,0.0,0.0,18.358690149127836,0.0,0.0,19.130530262403803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  09:00:00,-8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.463229064505305,0.0,0.0,18.52765429041405,0.0,0.0,18.87393419581838,0.0,0.0,17.84140379312325,0.0,0.0,18.447450868086056,0.0,0.0,19.113596586150878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  10:00:00,-6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5275830476463,0.0,0.0,19.85946771559741,0.0,0.0,19.64638014472963,0.0,0.0,17.924909716684966,0.0,0.0,18.550144746198617,0.0,0.0,19.035817964113073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
